2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: static_dir (str): share/splunk/search_mrsparkle/exposed
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: static_endpoint (str): /static
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: staticdir (str): /workspaces/Splunk_installation/splunk/share/splunk/search_mrsparkle/exposed
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: template_dir (str): share/splunk/search_mrsparkle/templates
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: testing_dir (str): share/splunk/testing
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: testing_endpoint (str): /testing
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.csrfcookie.name (str): splunkweb_csrf_token_8000
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.csrfcookie.port (str): 8000
2023-05-02 10:00:42,497 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.decode.on (bool): True
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.encode.encoding (str): utf-8
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.encode.on (bool): True
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.encode.text_only (bool): False
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.hook_injection_tool.on (bool): True
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.log_headers.on (bool): True
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.log_tracebacks.on (bool): True
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.response_headers.headers (list): [('Server', 'Splunk')]
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.response_headers.on (bool): True
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.forceSecure (bool): False
2023-05-02 10:00:42,498 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.httponly (bool): True
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.name (str): session_id_8000
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.on (bool): True
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.restart_persist (bool): True
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.secure (bool): False
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.storage_path (str): /workspaces/Splunk_installation/splunk/var/run/splunk
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.storage_type (str): file
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.sessions.timeout (int): 60
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: tools.trailing_slash.on (bool): True
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: trap_module_exceptions (bool): True
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: trustedIP (str): 127.0.0.1
2023-05-02 10:00:42,499 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: ui_inactivity_timeout (int): 60
2023-05-02 10:00:42,500 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: updateCheckerBaseURL (str): https://quickdraw.splunk.com/js/
2023-05-02 10:00:42,500 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: use_future_expires (bool): True
2023-05-02 10:00:42,500 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: userRegistrationURL (str): https://www.splunk.com/page/sign_up
2023-05-02 10:00:42,500 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: verifyCookiesWorkDuringLogin (bool): True
2023-05-02 10:00:42,500 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: version_label (str): UNKNOWN_VERSION
2023-05-02 10:00:42,500 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: version_number (str): UNKNOWN_VERSION
2023-05-02 10:00:42,500 INFO	[6450df49197efff1b6d990] root:734 - CONFIG: x_frame_options_sameorigin (bool): True
2023-05-02 10:00:42,501 INFO	[6450df49197efff1b6d990] root:168 - ENGINE: Bus STARTING
2023-05-02 10:00:42,501 INFO	[6450df49197efff1b6d990] _cplogging:216 - [02/May/2023:10:00:42] ENGINE Bus STARTING
2023-05-02 10:00:42,544 INFO	[6450df4a8a7efff0320ad0] _cplogging:216 - [02/May/2023:10:00:42]  storage_type is deprecated. Supply storage_class instead
2023-05-02 10:00:42,544 INFO	[6450df4a8a7efff0320ad0] root:168 - ENGINE: Started monitor thread 'Monitor'.
2023-05-02 10:00:42,545 INFO	[6450df4a8a7efff0320ad0] _cplogging:216 - [02/May/2023:10:00:42] ENGINE Started monitor thread 'Monitor'.
2023-05-02 10:00:42,612 INFO	[6450df49197efff1b6d990] root:168 - ENGINE: Serving on http://127.0.0.1:8065
2023-05-02 10:00:42,612 INFO	[6450df49197efff1b6d990] _cplogging:216 - [02/May/2023:10:00:42] ENGINE Serving on http://127.0.0.1:8065
2023-05-02 10:00:42,613 INFO	[6450df49197efff1b6d990] root:168 - ENGINE: Bus STARTED
2023-05-02 10:00:42,613 INFO	[6450df49197efff1b6d990] _cplogging:216 - [02/May/2023:10:00:42] ENGINE Bus STARTED
2023-05-02 10:02:10,399 INFO	[6450df49197efff1b6d990] root:168 - ENGINE: Caught signal SIGTERM.
2023-05-02 10:02:10,399 INFO	[6450df49197efff1b6d990] _cplogging:216 - [02/May/2023:10:02:10] ENGINE Caught signal SIGTERM.
2023-05-02 10:02:10,399 INFO	[6450df49197efff1b6d990] root:168 - ENGINE: Bus STOPPING
2023-05-02 10:02:10,400 INFO	[6450df49197efff1b6d990] _cplogging:216 - [02/May/2023:10:02:10] ENGINE Bus STOPPING
